Country Name;Indicator Name;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Botswana;Green GDP;833158365,7;1134502999;1511234535;2283027947;2882384496;3360170169;3513384845;4294299551;5677417822;7956753040;10351591681;10478424482;9878034035;11459462092;12141908476;10874330188;13668576209;19363111293;26042391117;30488434237;3485160955;3629665639;3833554008;3845913273;3943658692;4413340791;4543160994;4722654952;4479292775;5193314632;5429033265;5161066315;5110567872;7162220016;8486788001;9371634178;9198178525;9907871685;10137221937;9229460434;12075764923;14701102188;13737298935;14193807833;15631330513;13957148868;15219220558;16979087406;18233714442;18187914314
Brazil;Green GDP;40938333326;47681051277;56833902059;77466634969;1,03156E+11;1,20988E+11;1,49767E+11;1,73371E+11;1,97839E+11;2,21149E+11;2,30468E+11;2,59466E+11;2,77881E+11;1,9525E+11;2,01406E+11;2,15577E+11;2,62143E+11;2,86864E+11;3,23558E+11;4,18196E+11;4,53405E+11;5,95723E+11;3,91317E+11;4,29131E+11;5,51133E+11;7,61848E+11;8,41704E+11;8,7375E+11;8,54019E+11;5,8631E+11;6,39693E+11;5,45261E+11;4,92019E+11;5,43352E+11;6,52341E+11;8,67729E+11;1,07646E+12;1,35505E+12;1,63988E+12;1,63824E+12;2,16504E+12;2,55642E+12;2,40211E+12;2,41153E+12;2,39554E+12;1,76269E+12;1,76339E+12;2,0234E+12;1,84624E+12;1,79705E+12
Brunei Darussalam;Green GDP;928748050,8;926645928,4;896959449,5;886152364,6;857201336,4;1041870620;1311969056;1617685823;1700105979;2566993640;4677743904;4151236875;4013576060;3568085868;3477218300;3163794854;1955071356;2249556402;2078030365;2323278709;2688082665;3146225618;3510843427;3446886246;3445385097;4119438796;4361812167;4443344050;3570679609;3969534710;4930846860;4676052261;4878184274;5450058786;6467027549;7524277012;8530269220;9040336149;11193906429;8514478429;11240657819;15437740120;15805118087;15324419231;14686438572;11094956732;10113778742;10648798308;12253456707;11825607079
Bulgaria;Green GDP;8247752493;8405581141;9189345786;10683017974;11684483897;13093085304;13658797511;15619232843;16888011130;17997288482;18868192420;18850995285;18196270824;15462481735;16537253448;16048655179;19190962331;27036973494;21259311170;20750550403;19721786952;10218972663;9683052414;10030890033;9011634732;18222792340;11535677245;10628938455;14416537335;13061378288;12655647541;13555533442;15805977698;20507829627;25408776587;29054468898;33321743869;43315676417;53244295128;51060481524;49185048649;55982032808;52705838964;54498682649;55787303570;49609555976;52820080191;57981200086;65165036995;66954413238
Burkina Faso;Green GDP;452723907,8;476267263,5;571785318;666649107,7;741207635,4;927856470;963367616,1;1116677997;1457351588;1725296790;1900863459;1743252918;1710849414;1566620883;1424753378;1523850343;1994429031;2323561424;2556809307;2547955007;3026947446;3049010434;2125258931;2240975815;1774697156;2223960424;2426757809;2275502770;2639369677;3310719903;2881669343;3110451847;3529270461;4630504029;5282855954;5903970218;6246033246;7203136435;8829668289;8638046550;9023522579;10552393752;10995390320;11898647670;12345631054;9876176885;10806614594;12179675248;14020966596;13587060246
Burundi;Green GDP;226149421,8;234635674,2;228457673,7;281715700,8;318657201,7;389248852,6;411632380,1;503283129,4;562948707,6;723738201,8;845705845,9;892978112,8;908199207,5;1018639973;920411730;1083406180;1100334513;1011646993;948625934,2;985885192,1;975688776,5;1013872651;917483817,9;790780513,1;762158717,6;781683569,7;622333389,3;757756063,6;648506239,8;672777104,2;742545664,8;716861186,8;614080320,2;550220601,2;637102684,7;852788278;994875172,5;932018512;1112474661;1273992665;1579119413;1706615050;1927042528;2019389331;2271042834;2696267148;2492848510;2691663032;2587790711;2450212693
Cabo Verde;Green GDP;91780091,11;99037040,71;100201318,2;102324152,4;107132273,8;118137551,2;120960200,5;126853140,2;129303742,9;132082413,8;139818613,6;138141386,9;138740278,4;137154996,2;130228636,8;136176484,2;189212906,9;233584415,6;262524813,6;265506708,4;304692407,6;317539221,1;354666350;488215010,6;403737513,6;483543660,8;498124631,4;486660981;517783787,2;588949604,2;535151741,7;558290336,3;615606930,5;807056692,8;917074197,3;963138886,5;1098993181;1503474216;1778629280;1699559618;1652408997;1853051817;1728953665;1837723575;1846908779;1582627384;1648303864;1754996352;1951809489;1964664902
Cambodia;Green GDP;640925233,2;897384338,1;428373024,1;619755365,7;499276735,1;515330567;594629925,8;606731874,6;687285674,3;777039781,8;782217701,8;859290579,9;906727623,4;998477020,7;1092373183;1177781698;1332065618;1421016486;1637963688;1727624456;1795641389;1870089496;2156392326;2228138950;2471762683;3118835383;3147085621;3096241565;2803955685;3269656614;3449589184;3707824942;3994093466;4380252189;5048276761;6036442686;7004455502;8332188465;9870440891;9911192746;10738718337;12256182730;13514261004;14690102008;16108809361;17548335491;19461641218;21602784078;23896492743;26626308621
Cameroon;Green GDP;1000771655;1069552362;1261122964;1581904429;2070554528;2559736487;2878818993;3156373097;4171586807;5377416849;6124692794;7060299442;6875737450;6864861866;6978735287;7095695797;10159948538;11545339261;11838561624;9986837401;9934282935;11773951546;10623300488;14908088534;10016753888;8999289397;9797867954;10139996318;10183229527;10659902359;9010120555;9682473212;10928108907;13911152279;16509846506;16734088792;17798510470;20718760474;24114375416;24845704865;24638974717;27546192663;27185581150;30537084255;33276159910;29877892995;31744562424;33859407373;37642088965;37684492706
Canada;Green GDP;82952900894;94319413287;1,07636E+11;1,2443E+11;1,50817E+11;1,65291E+11;1,98193E+11;2,02822E+11;2,10144E+11;2,2838E+11;2,57828E+11;2,94442E+11;3,05355E+11;3,30954E+11;3,44652E+11;3,53886E+11;3,70024E+11;4,21312E+11;4,94946E+11;5,52516E+11;5,81545E+11;5,99881E+11;5,80433E+11;5,64131E+11;5,65616E+11;5,91763E+11;6,13297E+11;6,38477E+11;6,20523E+11;6,63553E+11;7,21786E+11;7,16023E+11;7,43112E+11;8,72272E+11;9,94709E+11;1,13542E+12;1,2821E+12;1,4304E+12;1,50827E+12;1,35468E+12;1,59532E+12;1,76595E+12;1,80868E+12;1,82679E+12;1,78287E+12;1,54161E+12;1,51266E+12;1,63208E+12;1,69954E+12;1,71744E+12
Chad;Green GDP;435274504,8;469799224,2;551700432,7;611928353,7;612507160,2;818145742,1;820815183,3;891165094,1;1068281703;966055760,3;993969937,4;841519273,5;803270003,5;804723451,2;895646711,8;1010724760;1046673474;1144637500;1465265960;1418257108;1722429439;1859854733;1865049756;1450779434;1160280482;1419459782;1577214358;1507256285;1701953204;1495318306;1339696227;1666531989;1936702571;2635472060;3381792687;5288855851;5941963888;7034239041;8445298761;8177853828;9127609722;10257178299;10420584132;11379923240;12420851950;9973057732;9269989705;8721333925;10212859803;10039161172
