Country Name;Indicator Name;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Chile;GDP (current US$);9126309735;10884114754;11853817308;16836261173;16210404184;7622217352;10341925249;13962893422;15989933708;21803696985;29036709872;34509878044;25325893206;20355959237;19622527480;17702885394;18891048819;22255407685;26040229793;29885685143;33113887818;37834793730;45964327559;49297773130;57008425296;73447063319;78039572222;84952360922;81577430181;75173794497;77860932152;70979923960;69736811435;75643459840;99210392858;1,22965E+11;1,54788E+11;1,73606E+11;1,79638E+11;1,72389E+11;2,18538E+11;2,52252E+11;2,67122E+11;2,78384E+11;2,60542E+11;2,43919E+11;2,5044E+11;2,77045E+11;2,98258E+11;2,82318E+11
China;GDP (current US$);92602973434;99800958648;1,13688E+11;1,38544E+11;1,44182E+11;1,63432E+11;1,5394E+11;1,74938E+11;1,49541E+11;1,78281E+11;1,91149E+11;1,95866E+11;2,0509E+11;2,30687E+11;2,59947E+11;3,09488E+11;3,00758E+11;2,72973E+11;3,12354E+11;3,47768E+11;3,60858E+11;3,83373E+11;4,26916E+11;4,44731E+11;5,64325E+11;7,34548E+11;8,63747E+11;9,61604E+11;1,02904E+12;1,094E+12;1,21135E+12;1,3394E+12;1,47055E+12;1,66029E+12;1,95535E+12;2,28597E+12;2,75213E+12;3,55034E+12;4,59431E+12;5,1017E+12;6,08716E+12;7,5515E+12;8,53223E+12;9,57041E+12;1,04757E+13;1,10616E+13;1,12333E+13;1,23104E+13;1,38948E+13;1,43429E+13
Colombia;GDP (current US$);7198360460;7820380971;8671358733;10315760000;12370029584;13098633902;15341403660;19470960619;23263511958;27940411250;33400735644;36388366869;38968039722;38729822782;38253120738;34894411352;34942489684;36373307085;39212550050;39540080200;47844090710;49175565911;58418985443;66446804803;81703500846;92507279383;97160109278;1,0666E+11;98443739941;86186158685;99886577331;98211751482;97963002599;94641380064;1,17082E+11;1,45619E+11;1,61619E+11;2,06182E+11;2,42187E+11;2,32398E+11;2,86563E+11;3,34944E+11;3,70921E+11;3,82116E+11;3,81112E+11;2,93482E+11;2,82825E+11;3,11884E+11;3,33569E+11;3,23803E+11
Comoros;GDP (current US$);135845215,1;145862563,2;155424152,2;159854525,6;168542548,7;178956245,5;185485698,6;191524574,4;198563658,4;201542156,6;212218226,4;196349967,7;184008995,6;191621958,4;184697210;196726077,1;279197696,8;337525870,6;356500026,7;341476764;429622147,7;424108796,6;457388578,9;452881443,1;319189200,4;398461789,6;396053797,6;364445589,7;370106776;382454989,9;350264287,7;378180913,4;423962976,7;545658929;632570092,2;653584808,7;697810988,1;794621676,5;911967428,7;901711442,3;907978723,5;1023086184;1015843369;1116224161;1149587652;966029542;1012835518;1077439663;1178530758;1185728677
Congo, Dem. Rep.;GDP (current US$);4877684910;5594770359;6173712814;7870239461;9596960180;10237343174;9648583225;12344424764;15372608002;15068422236;14394927495;12537821038;13651667371;11006712650;7857729193;7195042616;8095367168;7661625473;8861299977;9021862775;9349764580;9625436873;8227343907;10706259937;5820382248;5643439376;5771454940;6090840548;6215591270;4711259427;19088046306;7438189100;8728038525;8937567060;10297483481;11964484668;14451902468;16737071816;19788515874;18648373312;21565720044;25839749199;29306235826;32679745298;35909040266;37917704900;37134799975;38019265626;46831342213;47319624204
Congo, Rep.;GDP (current US$);274960699,9;322128019,3;410669262,9;541973362,5;585364635,4;767102679;754549600,5;765224030,6;878771771,3;1198749666;1705796850;1993512326;2160640567;2097274290;2193581366;2160872541;1849268215;2297753649;2212536313;2389593022;2798746051;2724853593;2933222714;1918970032;1769365425;2116003978;2540697688;2322718991;1949481297;2353909564;3219910550;2794259783;3019993739;3495868808;4648628921;6087003176;7731261311;8394688284;11859013281;9593537551;12019594809;14444509756;13677147848;14089855509;14196322768;8556594871;9041986778;9035182062;11662700148;10820591131
Costa Rica;GDP (current US$);984830158,5;1077152902;1238251696;1528916185;1666544754;1960863466;2412555426;3072427013;3523208810;4035519323;4831447001;2623807074;2606621255;3146770104;3660476459;3919203960;4418983871;4532952047;4614629898;5251025767;5711687787;7168999670;8528593421;9537297723;10432619325;11513472786;11618286652;12552071488;13617405297;14195623343;14949514493;15913363441;16504795593;17196009811;18528955525;19948261084;22602721765;26743972564;30612927059;30562361123;37268614024;42262697840;46473128286;49745088112;50577769838;54775994479;57157992434;58481858043;60553901420;61773944174
Cote d'Ivoire;GDP (current US$);1455482990;1584128262;1849400600;2508421235;3070151901;3893839190;4662053708;6265067858;7900524898;9142935858;10175615442;8432588484;7567109767;6838185419;6841638715;6977650069;9158302205;10087653189;10255170460;9757410614;10795850107;10492628915;11152971316;11045759469;8313557450;11000146839;12139234939;11722142706;12612033729;12376639823;10717022463;11192560827;12346919216;15306602560;16554441847;17084928927;17800887796;20343635320;24224903100;24277493862;24908781285;25414875503;26789047555;31273074528;35363533866;45814637971;47964234560;51588158718;57724731365;58792205642
Croatia;GDP (current US$);10582658942;11548759685;12985968594;13584875847;14857896895;15868569365;16523894587;17542896547;18254256851;18965384785;19856362521;21506256325;22517849856;25417748596;28653625478;29856415214;38956836254;35214251478;29536258945;25896541547;18562534785;12515478541;15242535895;17585684521;19856859251;22417412251;23710205734;23854819336;25466974683;23400452775;21669183469;23179763831;26815681492;34686502610;41594385430;45386774692;50454950478;60182902955;70288870870;62666199344;59807930156;62354273096;56494367810;58056933513;57642914304;49530641704;51596973259;55319605061;60991399904;60415553039
Cuba;GDP (current US$);5693005200;6914658400;8135150892;9987709650;11405957317;13027415244;13789579903;14206158675;17844705325;19584443288;19912889861;20150254096;20953510235;22204940512;24039383608;22920490774;24226574634;25213935012;27458999472;27023468666;28645436569;24316556026;22085858243;22367254865;28448326757;30429803651;25017368700;25365908100;25736331200;28364615200;30565400000;31682400000;33590500000;35901200000;38203000000;42643836100;52742800000;58603900000;60806300000;62080000000;64328000000;68990000000;73141000000;77148000000;80656000000;87133000000;91370000000;96851000000;1,00023E+11;1,15236E+11
Cyprus;GDP (current US$);332574896,1;356328496,2;398647512,2;415274865,8;445896859,5;489914760,7;576090073,7;734887974;964026512,2;1288715210;2154311277;2087496374;2159242417;2160364071;2278248953;2430411900;3090734463;3704813886;4278792597;4563482604;5591130218;5770197348;6912150456;6590291048;7425703929;9933133247;10011918444;9547818700;10248617647;10497908306;9985844486;10397897086;11420227885;14547325028;17320552500;18433411267;20072786351;23968764030;27844698989;25945391775;25732432719;27565469098;24978513427;23900872626;23128114787;19779150116;20890936462;22638608224;24961995749;24564647935
Czech Republic;GDP (current US$);11523648594;12596358647;13524784512;15425636587;16525412547;16953625478;17856958945;19584586523;19869658987;22658965874;26584562578;28569653647;29635487854;31526487594;33526418594;35425210625;36586958947;37458695845;38562562541;39856854785;40477403220;29675502270;34590052812;40614350197;47554674591;59775697061;66985765439;61792161168;66490372105;64867483193;61649492817;67523642262;81910771994;99627140274;1,19162E+11;1,36281E+11;1,55464E+11;1,89227E+11;2,35719E+11;2,0618E+11;2,07478E+11;2,27948E+11;2,07376E+11;2,09402E+11;2,07818E+11;1,8683E+11;1,9509E+11;2,15914E+11;2,44987E+11;2,46489E+11
Denmark;GDP (current US$);17075457600;19085731252;23232379952;30730626663;34160444798;40474406216;44575892473;49784338519;60362931854;70366241969;71127528700;61877813965;60412844679;60644782176;59105236854;62658568287;88078760104;1,09414E+11;1,15553E+11;1,12409E+11;1,38247E+11;1,39225E+11;1,52916E+11;1,43196E+11;1,56162E+11;1,85007E+11;1,87632E+11;1,73538E+11;1,76992E+11;1,77965E+11;1,64159E+11;1,64791E+11;1,78635E+11;2,18096E+11;2,51373E+11;2,64467E+11;2,82885E+11;3,19423E+11;3,53361E+11;3,21241E+11;3,21995E+11;3,44003E+11;3,27149E+11;3,43584E+11;3,52994E+11;3,02673E+11;3,13116E+11;3,29417E+11;3,55675E+11;3,48078E+11
Djibouti;GDP (current US$);128457845,5;134568958,5;139869568,8;148569785,2;158698563,2;168969589,6;178546985,3;188653689,5;187568475,5;198564751,2;205256363,9;215689597,4;252636589,5;296585457,8;312569854,5;340989528;356859854,5;373371738,3;395794538,6;409220087,1;452328087,3;462421998,5;478058304,9;466048469,2;491689220,7;497723960,6;494004647,7;502675542;514267869,3;536080148,1;551230861,9;572417440,8;591122039,6;622044665,5;666072101,8;708633194,7;768873684;847918929,1;999105339,3;1049110685;1128611700;1239144502;1353632942;2042817163;2214681574;2430287967;2603554907;2751461056;3012820410;3318716359
