date,Temperatura,Rainfall (mm)
2017-04-30,25.1375,0.24791666666666667
2017-05-01,25.833333333333332,0.0
2017-05-02,24.585714285714285,1.3224489795918366
2017-05-03,25.254166666666666,0.09999999999999999
2017-05-04,26.922916666666666,0.0
2017-05-05,25.520833333333332,3.283333333333333
2017-05-06,26.302083333333332,0.36041666666666666
2017-05-07,24.927083333333332,0.9083333333333333
2017-05-08,25.327083333333334,0.5041666666666667
2017-05-09,26.7,1.2104166666666665
2017-05-10,25.18541666666667,1.825
2017-05-11,26.618750000000002,0.0
2017-05-12,26.222916666666666,0.03333333333333333
2017-05-13,28.131249999999998,0.0
2017-05-14,24.652083333333334,0.7937500000000001
2017-05-15,24.775000000000002,0.2708333333333333
